Unibet_ID,Unibet_Name,Fotmob_ID,Fotmob_Name,Match_Type,Country/Region
1000093381,Champions League,42,Champions League,Exact Match,International
1000093399,Copa Libertadores,45,Copa Libertadores,Exact Match,International
1000179126,Copa Sudamericana,299,Copa Sudamericana,Exact Match,International
2000069140,Champions League Qualification,10611,Champions League Qualification,Exact Match,International
2000077426,Europa League Qualification,10613,Europa League Qualification,Exact Match,International
2000130521,Conference League Qualification,10615,Conference League Qualification,Exact Match,International
2000120032,Leagues Cup,10043,Leagues Cup,Exact Match,International
1000123032,African Nations Cup,289,Africa Cup of Nations,Different Name,International
1000094985,Premier League,47,Premier League,Exact Match,England
1000094981,The Championship,48,Championship,Different Name,England
1000094982,League One,108,League One,Exact Match,England
1000094987,League Two,109,League Two,Exact Match,England
1000095485,National League,117,National League,Exact Match,England
1000094984,FA Cup,132,FA Cup,Exact Match,England
1000094986,EFL Cup,133,EFL Cup,Exact Match,England
1000095137,EFL Trophy,142,EFL Trophy,Exact Match,England
2000057364,African Championship of Nations,9428,African Nations Championship,Different Name,International
1000094994,Bundesliga,54,Bundesliga,Exact Match,Germany
1000094993,2. Bundesliga,146,2. Bundesliga,Exact Match,Germany
1000094995,DFB Pokal,209,DFB Pokal,Exact Match,Germany
1000353685,DFL-Supercup,8924,Super Cup,Different Name,Germany
1000094991,Ligue 1,53,Ligue 1,Exact Match,France
1000094568,Ligue 2,110,Ligue 2,Exact Match,France
1000094990,Coupe de France,134,Coupe de France,Exact Match,France
1000094825,Championnat National,8970,National,Different Name,France
1000095001,Serie A,55,Serie A,Exact Match,Italy
1000095002,Serie B,86,Serie B,Exact Match,Italy
1000094998,Coppa Italia,141,Coppa Italia,Exact Match,Italy
1000094980,Eredivisie,57,Eredivisie,Exact Match,Netherlands
1000095127,Eerste Divisie,111,Eerste Divisie,Exact Match,Netherlands
1000094979,KNVB Beker,235,KNVB Cup,Different Name,Netherlands
1000095042,Primeira Liga,61,Liga Portugal,Exact Match,Portugal
1000265213,Liga 2,185,Liga Portugal 2,Different Name,Portugal
1000094978,Superligaen,46,Superligaen,Exact Match,Denmark
1000094976,1st Division,85,1. Division,Different Name,Denmark
1000443738,DBU Pokalen,242,DBU Pokalen,Exact Match,Denmark
1000095010,Eliteserien,59,Eliteserien,Exact Match,Norway
1000095003,OBOS-ligaen,203,OBOS-ligaen,Exact Match,Norway
1000176403,Toppserien (W),331,Toppserien,Different Name,Norway
1000094989,Veikkausliiga,51,Veikkausliiga,Exact Match,Finland
1000094796,Ykkönen,251,Ykkosliiga,Different Name,Finland
2000050783,Kansallinen Liiga (W),10174,Kansallinen (Women),Different Name,Finland
1000095057,Allsvenskan,67,Allsvenskan,Exact Match,Sweden
1000095052,Superettan,168,Superettan,Exact Match,Sweden
1000095020,Super League,69,Super League,Exact Match,Switzerland
1000095047,Scottish Premiership,64,Premiership,Different Name,Scotland
1000095045,Championship,123,Championship,Exact Match,Scotland
